start_station_id,end_station_id,count
76,63,369
76,64,577
76,65,568
76,66,665
76,67,2061
76,68,173
76,69,1085
76,70,2797
76,71,172
76,72,656
76,73,408
76,74,688
76,75,429
76,76,724
76,77,658
76,82,162
77,39,632
77,41,301
77,42,685
77,45,822
77,46,204
77,47,46
77,48,244
77,49,319
77,50,1549
77,51,323
77,54,293
77,55,557
77,56,313
77,57,420
77,58,129
77,59,223
77,60,1321
77,61,1443
77,62,832
77,63,300
77,64,3427
77,65,550
77,66,520
77,67,515
77,68,492
77,69,1303
77,70,2408
77,71,208
77,72,516
77,73,984
77,74,773
77,75,122
77,76,489
77,77,405
77,82,504
82,39,116
82,41,437
82,42,188
82,45,107
82,46,49
82,47,145
82,48,49
82,49,170
82,50,225
82,51,121
82,54,346
82,55,705
82,56,960
82,57,149
82,58,15
82,59,17
82,60,302
82,61,474
82,62,33
82,63,63
82,64,109
82,65,55
82,66,57
82,67,94
82,68,54
82,69,646
82,70,1457
82,71,276
82,72,157
82,73,86
82,74,869
82,75,784
82,76,212
82,77,545
82,82,238
